com.whatsapp,WhatsApp Messenger,COMMUNICATION,Communication,44339320,"5,000,000,000+"
com.google.android.gm,Gmail,COMMUNICATION,Communication,2898897,"5,000,000,000+"
com.zing.zalo,Zalo - Video Call,COMMUNICATION,Communication,597313,"100,000,000+"
com.android.chrome,Google Chrome: Fast & Secure,COMMUNICATION,Communication,10656383,"5,000,000,000+"
com.whatsapp,WhatsApp Messenger,COMMUNICATION,Communication,44339359,"5,000,000,000+"
org.telegram.messenger,Telegram,COMMUNICATION,Communication,2640422,"1,000,000,000+"
com.facebook.orca,"Messenger – Text, audio and video calls",COMMUNICATION,Communication,22560655,"5,000,000,000+"
com.google.android.talk,Hangouts,COMMUNICATION,Communication,1512259,"5,000,000,000+"
com.google.android.contacts,Contacts,COMMUNICATION,Communication,174469,"1,000,000,000+"
com.google.android.apps.messaging,Messages,COMMUNICATION,Communication,1816379,"1,000,000,000+"
com.skype.raider,Skype - free IM & video calls,COMMUNICATION,Communication,2598405,"1,000,000,000+"
com.discord,"Discord - Talk, Video Chat & Hang Out with Friends",COMMUNICATION,Communication,1268593,"100,000,000+"
com.google.android.apps.tachyon,Google Duo,COMMUNICATION,Communication,2840586,"1,000,000,000+"
com.google.android.apps.googlevoice,Google Voice,COMMUNICATION,Communication,92926,"10,000,000+"
com.enflick.android.TextNow,TextNow: Free US Calls & Texts,COMMUNICATION,Communication,393500,"50,000,000+"
com.hb.dialer.free,True Phone Dialer & Contacts & Call Recorder,COMMUNICATION,Communication,90352,"10,000,000+"
com.google.android.apps.classroom,Google Classroom,EDUCATION,Education,646224,"100,000,000+"
com.microblink.photomath,Photomath,EDUCATION,Education,935724,"100,000,000+"
xyz.penpencil.physicswala,Physics Wallah,EDUCATION,Education,134776,"1,000,000+"
co.brainly,Brainly – Home Learning & Homework Help,EDUCATION,Education,963265,"100,000,000+"
com.bagatrix.mathway.android,"Mathway: Scan Photos, Solve Problems",EDUCATION,Education,139938,"10,000,000+"
no.mobitroll.kahoot.android,Kahoot! Play & Create Quizzes,EDUCATION,Education,54970,"50,000,000+"
com.instructure.candroid,Canvas Student,EDUCATION,Education,33682,"10,000,000+"
com.unacademyapp,Unacademy Learner App,EDUCATION,Education,275612,"10,000,000+"
com.education.android.h.intelligence,Gauthmath – The most powerful AI calculator,EDUCATION,Education,12949,"10,000,000+"
com.mathpresso.qanda,QANDA: Free Math Solutions,EDUCATION,Education,264135,"10,000,000+"
com.moodle.moodlemobile,Moodle,EDUCATION,Education,32660,"10,000,000+"
com.doubtnutapp,"Doubtnut: NCERT Solutions, Free IIT JEE & NEET App",EDUCATION,Education,185256,"10,000,000+"
com.grupet.web.app,Untis Mobile,EDUCATION,Education,16278,"1,000,000+"
com.classdojo.android,ClassDojo,EDUCATION,Education,89797,"10,000,000+"
com.rbc.mobile.android,RBC Mobile,FINANCE,Finance,13887,"1,000,000+"
com.td,TD Canada,FINANCE,Finance,35543,"5,000,000+"
com.scb.phone,SCB EASY,FINANCE,Finance,109328,"10,000,000+"
com.kuveytturk.mobil,Kuveyt Türk Mobile,FINANCE,Finance,21542,"1,000,000+"
com.bbl.mobilebanking,Bualuang mBanking,FINANCE,Finance,86280,"10,000,000+"
com.wingmoney.wingpay,Wing Money,FINANCE,Finance,8282,"1,000,000+"
pl.mbank,mBank PL,FINANCE,Finance,73072,"1,000,000+"
pk.com.telenor.phoenix,"Easypaisa - Mobile Load, Send Money & Pay Bills",FINANCE,Finance,225056,"10,000,000+"
com.ykb.android,Yapı Kredi Mobile,FINANCE,Finance,392112,"10,000,000+"
mn.slide.khaanbank,Khan Bank Lite,FINANCE,Finance,1585,"1,000,000+"
com.garanti.cepsubesi,Garanti BBVA Mobile,FINANCE,Finance,104408,"10,000,000+"
com.bca,BCA mobile,FINANCE,Finance,404771,"10,000,000+"
com.current.app,Current - Modern Banking,FINANCE,Finance,31134,"1,000,000+"
com.zellepay.zelle,Zelle,FINANCE,Finance,38820,"10,000,000+"
com.kasikorn.retail.mbanking.wap,K PLUS,FINANCE,Finance,128470,"10,000,000+"
